sequence,frameType,bytes,encodeMs,latencyMs
625,Delta,1946,0.838,0.172
626,Delta,2551,0.844,0.238
627,Delta,1992,1.457,0.171
628,Delta,1961,0.736,0.159
629,Delta,1982,1.032,0.215
630,Delta,2637,0.694,0.208
631,Keyframe,9688,0.857,0.285
632,Delta,1434,0.630,0.141
633,Delta,2561,0.943,0.227
634,Delta,1727,0.729,0.203
635,Delta,1677,0.866,0.193
636,Delta,1569,0.826,0.151
637,Delta,2329,0.778,0.136
638,Delta,2249,0.698,0.152
639,Delta,2120,0.596,0.149
640,Delta,2109,0.690,0.155
641,Delta,2449,0.632,0.141
642,Delta,2410,1.186,0.163
643,Delta,2123,0.878,0.165
644,Delta,1895,0.740,0.201
645,Delta,2467,0.831,0.156
646,Keyframe,10117,0.690,0.399
647,Delta,1487,0.801,0.137
648,Delta,2383,0.795,0.150
649,Delta,1776,1.089,0.427
650,Delta,1853,0.884,0.527
651,Delta,1733,0.844,0.586
652,Delta,2461,0.740,0.418
653,Delta,1799,0.775,0.167
654,Delta,2276,0.836,0.247
655,Delta,1951,0.970,0.143
656,Delta,2427,0.692,0.279
657,Delta,2191,0.890,0.201
658,Delta,1938,0.663,0.212
659,Delta,1871,1.972,0.153
660,Delta,2819,0.724,0.153
661,Keyframe,9901,0.792,0.297
662,Delta,1324,0.608,0.307
663,Delta,2267,0.939,0.195
664,Delta,1817,0.761,0.174
665,Delta,1811,0.578,0.142
666,Delta,2418,0.956,0.158
667,Delta,2588,0.674,0.151
668,Delta,2539,0.712,0.160
669,Delta,2346,0.737,0.147
670,Delta,2201,0.686,0.152
671,Delta,2502,0.795,0.151
672,Delta,2097,0.751,0.147
673,Delta,2441,0.662,0.152
674,Delta,2279,0.591,0.306
675,Delta,2497,0.799,0.194
676,Keyframe,9660,0.749,0.317
677,Delta,1475,0.947,0.157
678,Delta,2580,0.644,0.143
679,Delta,2012,0.802,0.153
680,Delta,1986,1.016,0.172
681,Delta,2171,0.705,0.137
682,Delta,2777,0.784,0.133
683,Delta,2308,0.799,0.154
684,Delta,2460,0.784,0.167
685,Delta,2294,0.844,0.144
686,Delta,2458,0.604,0.143
687,Delta,1803,1.185,0.158
688,Delta,2289,0.671,0.162
689,Delta,2039,0.717,0.143
690,Delta,2673,0.592,0.230
691,Keyframe,9108,0.651,0.234
692,Delta,1608,0.603,0.136
693,Delta,2181,0.784,0.140
694,Delta,1744,1.005,0.158
695,Delta,1635,0.667,0.186
696,Delta,2110,0.819,0.302
697,Delta,2785,0.701,0.214
698,Delta,1846,0.860,0.202
699,Delta,1855,0.931,0.180
700,Delta,1757,0.688,0.293
701,Delta,2301,0.705,0.134
702,Delta,2089,0.600,0.205
703,Delta,1842,1.272,0.155
704,Delta,1882,0.756,0.147
705,Delta,2628,0.815,0.160
706,Keyframe,8975,0.813,0.290
707,Delta,1717,0.578,0.256
708,Delta,2364,0.809,0.146
709,Delta,1792,0.573,0.159
710,Delta,1856,1.084,0.252
711,Delta,1797,0.721,0.141
712,Delta,2477,0.620,0.160
713,Delta,1886,0.695,0.141
714,Delta,1912,0.873,0.158
715,Delta,1950,0.811,0.148
716,Delta,2344,0.659,0.251
717,Delta,1895,1.133,0.155
718,Delta,2310,0.741,0.173
719,Delta,2171,0.712,0.141
720,Delta,2096,0.770,0.141
721,Keyframe,8872,0.637,0.275
722,Delta,1769,0.859,0.130
723,Delta,2297,1.846,0.200
724,Delta,1728,0.952,0.186
725,Delta,1711,0.698,0.141
726,Delta,2062,0.970,0.164
727,Delta,2598,0.702,0.152
728,Delta,1912,0.808,0.207
729,Delta,1932,0.781,0.137
730,Delta,1943,0.731,0.157
731,Delta,2569,0.717,0.266
732,Delta,1969,0.773,1.240
733,Delta,1994,1.011,0.189
734,Delta,1957,0.804,0.163
